[WARN ][10:48:17,877][main][ ][com.netflix.config.sources.URLConfigurationSource:121][No URLs will be polled as dynamic configuration sources.]
[INFO ][10:48:17,883][main][ ][com.netflix.config.sources.URLConfigurationSource:122][To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.]
[DEBUG][10:48:17,893][main][ ][com.netflix.hystrix.strategy.HystrixPlugins:386][Created HystrixDynamicProperties. Using class : com.netflix.hystrix.strategy.properties.archaius.HystrixDynamicPropertiesArchaius]
[INFO ][10:48:17,918][main][ ][com.netflix.config.DynamicPropertyFactory:281][DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@3fecdd00]
[DEBUG][10:48:18,343][main][ ][io.netty.util.internal.logging.InternalLoggerFactory:43][Using SLF4J as the default logging framework]
[DEBUG][10:48:18,350][main][ ][io.lettuce.core.resource.DefaultClientResources:109][-Dio.netty.eventLoopThreads: 4]
[DEBUG][10:48:18,362][main][ ][io.lettuce.core.resource.DefaultEventLoopGroupProvider:138][Creating executor io.netty.util.concurrent.DefaultEventExecutorGroup]
[DEBUG][10:48:18,388][main][ ][io.netty.util.internal.InternalThreadLocalMap:54][-Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024]
[DEBUG][10:48:18,388][main][ ][io.netty.util.internal.InternalThreadLocalMap:57][-Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096]
[DEBUG][10:48:18,398][main][ ][io.netty.util.ResourceLeakDetector:129][-Dio.netty.leakDetection.level: simple]
[DEBUG][10:48:18,398][main][ ][io.netty.util.ResourceLeakDetector:130][-Dio.netty.leakDetection.targetRecords: 4]
[DEBUG][10:48:18,418][main][ ][io.netty.util.internal.PlatformDependent:985][Platform: Windows]
[DEBUG][10:48:18,421][main][ ][io.netty.util.internal.PlatformDependent0:395][-Dio.netty.noUnsafe: false]
[DEBUG][10:48:18,421][main][ ][io.netty.util.internal.PlatformDependent0:851][Java version: 8]
[DEBUG][10:48:18,422][main][ ][io.netty.util.internal.PlatformDependent0:120][sun.misc.Unsafe.theUnsafe: available]
[DEBUG][10:48:18,423][main][ ][io.netty.util.internal.PlatformDependent0:144][sun.misc.Unsafe.copyMemory: available]
[DEBUG][10:48:18,424][main][ ][io.netty.util.internal.PlatformDependent0:182][java.nio.Buffer.address: available]
[DEBUG][10:48:18,425][main][ ][io.netty.util.internal.PlatformDependent0:243][direct buffer constructor: available]
[DEBUG][10:48:18,426][main][ ][io.netty.util.internal.PlatformDependent0:313][java.nio.Bits.unaligned: available, true]
[DEBUG][10:48:18,426][main][ ][io.netty.util.internal.PlatformDependent0:378][jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable prior to Java9]
[DEBUG][10:48:18,427][main][ ][io.netty.util.internal.PlatformDependent0:385][java.nio.DirectByteBuffer.<init>(long, int): available]
[DEBUG][10:48:18,427][main][ ][io.netty.util.internal.PlatformDependent:1028][sun.misc.Unsafe: available]
[DEBUG][10:48:18,428][main][ ][io.netty.util.internal.PlatformDependent:1147][-Dio.netty.tmpdir: C:\Users\34479\AppData\Local\Temp (java.io.tmpdir)]
[DEBUG][10:48:18,428][main][ ][io.netty.util.internal.PlatformDependent:1226][-Dio.netty.bitMode: 64 (sun.arch.data.model)]
[DEBUG][10:48:18,429][main][ ][io.netty.util.internal.PlatformDependent:173][-Dio.netty.maxDirectMemory: 1884815360 bytes]
[DEBUG][10:48:18,429][main][ ][io.netty.util.internal.PlatformDependent:180][-Dio.netty.uninitializedArrayAllocationThreshold: -1]
[DEBUG][10:48:18,432][main][ ][io.netty.util.internal.CleanerJava6:92][java.nio.ByteBuffer.cleaner(): available]
[DEBUG][10:48:18,432][main][ ][io.netty.util.internal.PlatformDependent:200][-Dio.netty.noPreferDirect: false]
[DEBUG][10:48:18,433][main][ ][io.netty.util.ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory:202][Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@5295a774]
[DEBUG][10:48:18,442][main][ ][io.netty.util.internal.PlatformDependent$Mpsc:890][org.jctools-core.MpscChunkedArrayQueue: available]
[DEBUG][10:48:18,453][main][ ][reactor.util.Loggers$Slf4JLogger:249][Using Slf4j logging framework]
[DEBUG][10:48:18,655][main][ ][io.netty.buffer.PooledByteBufAllocator:142][-Dio.netty.allocator.numHeapArenas: 8]
[DEBUG][10:48:18,656][main][ ][io.netty.buffer.PooledByteBufAllocator:143][-Dio.netty.allocator.numDirectArenas: 8]
[DEBUG][10:48:18,656][main][ ][io.netty.buffer.PooledByteBufAllocator:145][-Dio.netty.allocator.pageSize: 8192]
[DEBUG][10:48:18,657][main][ ][io.netty.buffer.PooledByteBufAllocator:150][-Dio.netty.allocator.maxOrder: 11]
[DEBUG][10:48:18,657][main][ ][io.netty.buffer.PooledByteBufAllocator:154][-Dio.netty.allocator.chunkSize: 16777216]
[DEBUG][10:48:18,657][main][ ][io.netty.buffer.PooledByteBufAllocator:155][-Dio.netty.allocator.tinyCacheSize: 512]
[DEBUG][10:48:18,657][main][ ][io.netty.buffer.PooledByteBufAllocator:156][-Dio.netty.allocator.smallCacheSize: 256]
[DEBUG][10:48:18,658][main][ ][io.netty.buffer.PooledByteBufAllocator:157][-Dio.netty.allocator.normalCacheSize: 64]
[DEBUG][10:48:18,658][main][ ][io.netty.buffer.PooledByteBufAllocator:158][-Dio.netty.allocator.maxCachedBufferCapacity: 32768]
[DEBUG][10:48:18,658][main][ ][io.netty.buffer.PooledByteBufAllocator:159][-Dio.netty.allocator.cacheTrimInterval: 8192]
[DEBUG][10:48:18,658][main][ ][io.netty.buffer.PooledByteBufAllocator:160][-Dio.netty.allocator.cacheTrimIntervalMillis: 0]
[DEBUG][10:48:18,659][main][ ][io.netty.buffer.PooledByteBufAllocator:161][-Dio.netty.allocator.useCacheForAllThreads: true]
[DEBUG][10:48:18,659][main][ ][io.netty.buffer.PooledByteBufAllocator:162][-Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023]
[DEBUG][10:48:21,309][Finalizer][ ][org.apache.http.impl.conn.PoolingHttpClientConnectionManager:409][Connection manager is shutting down]
[DEBUG][10:48:21,310][Finalizer][ ][org.apache.http.impl.conn.PoolingHttpClientConnectionManager:415][Connection manager shut down]
[WARN ][10:52:12,517][main][ ][com.netflix.config.sources.URLConfigurationSource:121][No URLs will be polled as dynamic configuration sources.]
[INFO ][10:52:12,524][main][ ][com.netflix.config.sources.URLConfigurationSource:122][To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.]
[DEBUG][10:52:12,533][main][ ][com.netflix.hystrix.strategy.HystrixPlugins:386][Created HystrixDynamicProperties. Using class : com.netflix.hystrix.strategy.properties.archaius.HystrixDynamicPropertiesArchaius]
[INFO ][10:52:12,555][main][ ][com.netflix.config.DynamicPropertyFactory:281][DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@63f819a6]
[DEBUG][10:52:12,974][main][ ][io.netty.util.internal.logging.InternalLoggerFactory:43][Using SLF4J as the default logging framework]
[DEBUG][10:52:12,983][main][ ][io.lettuce.core.resource.DefaultClientResources:109][-Dio.netty.eventLoopThreads: 4]
[DEBUG][10:52:12,997][main][ ][io.lettuce.core.resource.DefaultEventLoopGroupProvider:138][Creating executor io.netty.util.concurrent.DefaultEventExecutorGroup]
[DEBUG][10:52:13,028][main][ ][io.netty.util.internal.InternalThreadLocalMap:54][-Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024]
[DEBUG][10:52:13,028][main][ ][io.netty.util.internal.InternalThreadLocalMap:57][-Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096]
[DEBUG][10:52:13,038][main][ ][io.netty.util.ResourceLeakDetector:129][-Dio.netty.leakDetection.level: simple]
[DEBUG][10:52:13,039][main][ ][io.netty.util.ResourceLeakDetector:130][-Dio.netty.leakDetection.targetRecords: 4]
[DEBUG][10:52:13,061][main][ ][io.netty.util.internal.PlatformDependent:985][Platform: Windows]
[DEBUG][10:52:13,065][main][ ][io.netty.util.internal.PlatformDependent0:395][-Dio.netty.noUnsafe: false]
[DEBUG][10:52:13,065][main][ ][io.netty.util.internal.PlatformDependent0:851][Java version: 8]
[DEBUG][10:52:13,066][main][ ][io.netty.util.internal.PlatformDependent0:120][sun.misc.Unsafe.theUnsafe: available]
[DEBUG][10:52:13,068][main][ ][io.netty.util.internal.PlatformDependent0:144][sun.misc.Unsafe.copyMemory: available]
[DEBUG][10:52:13,069][main][ ][io.netty.util.internal.PlatformDependent0:182][java.nio.Buffer.address: available]
[DEBUG][10:52:13,070][main][ ][io.netty.util.internal.PlatformDependent0:243][direct buffer constructor: available]
[DEBUG][10:52:13,071][main][ ][io.netty.util.internal.PlatformDependent0:313][java.nio.Bits.unaligned: available, true]
[DEBUG][10:52:13,072][main][ ][io.netty.util.internal.PlatformDependent0:378][jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable prior to Java9]
[DEBUG][10:52:13,072][main][ ][io.netty.util.internal.PlatformDependent0:385][java.nio.DirectByteBuffer.<init>(long, int): available]
[DEBUG][10:52:13,072][main][ ][io.netty.util.internal.PlatformDependent:1028][sun.misc.Unsafe: available]
[DEBUG][10:52:13,073][main][ ][io.netty.util.internal.PlatformDependent:1147][-Dio.netty.tmpdir: C:\Users\34479\AppData\Local\Temp (java.io.tmpdir)]
[DEBUG][10:52:13,073][main][ ][io.netty.util.internal.PlatformDependent:1226][-Dio.netty.bitMode: 64 (sun.arch.data.model)]
[DEBUG][10:52:13,075][main][ ][io.netty.util.internal.PlatformDependent:173][-Dio.netty.maxDirectMemory: 1884815360 bytes]
[DEBUG][10:52:13,075][main][ ][io.netty.util.internal.PlatformDependent:180][-Dio.netty.uninitializedArrayAllocationThreshold: -1]
[DEBUG][10:52:13,078][main][ ][io.netty.util.internal.CleanerJava6:92][java.nio.ByteBuffer.cleaner(): available]
[DEBUG][10:52:13,078][main][ ][io.netty.util.internal.PlatformDependent:200][-Dio.netty.noPreferDirect: false]
[DEBUG][10:52:13,079][main][ ][io.netty.util.ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory:202][Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@4c140b12]
[DEBUG][10:52:13,089][main][ ][io.netty.util.internal.PlatformDependent$Mpsc:890][org.jctools-core.MpscChunkedArrayQueue: available]
[DEBUG][10:52:13,099][main][ ][reactor.util.Loggers$Slf4JLogger:249][Using Slf4j logging framework]
[DEBUG][10:52:13,311][main][ ][io.netty.buffer.PooledByteBufAllocator:142][-Dio.netty.allocator.numHeapArenas: 8]
[DEBUG][10:52:13,312][main][ ][io.netty.buffer.PooledByteBufAllocator:143][-Dio.netty.allocator.numDirectArenas: 8]
[DEBUG][10:52:13,312][main][ ][io.netty.buffer.PooledByteBufAllocator:145][-Dio.netty.allocator.pageSize: 8192]
[DEBUG][10:52:13,312][main][ ][io.netty.buffer.PooledByteBufAllocator:150][-Dio.netty.allocator.maxOrder: 11]
[DEBUG][10:52:13,313][main][ ][io.netty.buffer.PooledByteBufAllocator:154][-Dio.netty.allocator.chunkSize: 16777216]
[DEBUG][10:52:13,313][main][ ][io.netty.buffer.PooledByteBufAllocator:155][-Dio.netty.allocator.tinyCacheSize: 512]
[DEBUG][10:52:13,313][main][ ][io.netty.buffer.PooledByteBufAllocator:156][-Dio.netty.allocator.smallCacheSize: 256]
[DEBUG][10:52:13,313][main][ ][io.netty.buffer.PooledByteBufAllocator:157][-Dio.netty.allocator.normalCacheSize: 64]
[DEBUG][10:52:13,314][main][ ][io.netty.buffer.PooledByteBufAllocator:158][-Dio.netty.allocator.maxCachedBufferCapacity: 32768]
[DEBUG][10:52:13,314][main][ ][io.netty.buffer.PooledByteBufAllocator:159][-Dio.netty.allocator.cacheTrimInterval: 8192]
[DEBUG][10:52:13,314][main][ ][io.netty.buffer.PooledByteBufAllocator:160][-Dio.netty.allocator.cacheTrimIntervalMillis: 0]
[DEBUG][10:52:13,314][main][ ][io.netty.buffer.PooledByteBufAllocator:161][-Dio.netty.allocator.useCacheForAllThreads: true]
[DEBUG][10:52:13,315][main][ ][io.netty.buffer.PooledByteBufAllocator:162][-Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023]
[DEBUG][10:52:15,771][Finalizer][ ][org.apache.http.impl.conn.PoolingHttpClientConnectionManager:409][Connection manager is shutting down]
[DEBUG][10:52:15,771][Finalizer][ ][org.apache.http.impl.conn.PoolingHttpClientConnectionManager:415][Connection manager shut down]
[WARN ][10:59:55,166][main][ ][com.netflix.config.sources.URLConfigurationSource:121][No URLs will be polled as dynamic configuration sources.]
[INFO ][10:59:55,176][main][ ][com.netflix.config.sources.URLConfigurationSource:122][To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.]
[DEBUG][10:59:55,186][main][ ][com.netflix.hystrix.strategy.HystrixPlugins:386][Created HystrixDynamicProperties. Using class : com.netflix.hystrix.strategy.properties.archaius.HystrixDynamicPropertiesArchaius]
[INFO ][10:59:55,207][main][ ][com.netflix.config.DynamicPropertyFactory:281][DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@a486851]
[DEBUG][10:59:55,750][main][ ][io.netty.util.internal.logging.InternalLoggerFactory:43][Using SLF4J as the default logging framework]
[DEBUG][10:59:55,760][main][ ][io.lettuce.core.resource.DefaultClientResources:109][-Dio.netty.eventLoopThreads: 4]
[DEBUG][10:59:55,785][main][ ][io.lettuce.core.resource.DefaultEventLoopGroupProvider:138][Creating executor io.netty.util.concurrent.DefaultEventExecutorGroup]
